normalized_reward_test,normalized_reward_train,reward_test,reward_train,step,time
1.6362500190734863,1.566249966621399,23.244359970092773,27.152027130126953,8192,115.097047
1.4250000715255737,1.5099998712539673,10.254581451416016,11.57127857208252,16384,149.050184
1.4124997854232788,1.37624990940094,10.02511978149414,9.852264404296875,24576,182.52735
1.3212499618530273,1.377500057220459,9.305755615234375,9.89721393585205,32768,216.120844
1.4524997472763062,1.4399999380111694,10.287928581237793,10.440104484558105,40960,249.661458
1.3012499809265137,1.3312499523162842,9.205520629882812,9.600651741027832,49152,283.110186
1.3824999332427979,1.278749942779541,9.728580474853516,9.1661376953125,57344,316.475559
1.4537498950958252,1.3149999380111694,10.170949935913086,9.509626388549805,65536,349.881743
1.4424999952316284,1.2674999237060547,10.016057014465332,9.17924690246582,73728,383.322809
1.3362499475479126,1.5362498760223389,9.245277404785156,11.078448295593262,81920,416.818006
1.4162497520446777,1.4537498950958252,9.721648216247559,10.31216812133789,90112,450.568982
1.3474998474121094,1.3962500095367432,9.23244857788086,9.849916458129883,98304,484.184428
1.3799998760223389,1.4987499713897705,9.468058586120605,10.52061939239502,106496,517.975424
1.3012499809265137,1.2599998712539673,8.946087837219238,8.808456420898438,114688,551.442834
1.278749942779541,1.3262500762939453,8.837894439697266,9.283895492553711,122880,585.216233
1.3237498998641968,1.428749918937683,9.119644165039062,9.993256568908691,131072,618.844843
1.3849998712539673,1.4199998378753662,9.53040885925293,9.946568489074707,139264,652.505565
1.2412500381469727,1.4049999713897705,8.518604278564453,9.787425994873047,147456,686.211906
1.4262499809265137,1.397499918937683,9.764122009277344,9.732891082763672,155648,719.777094
1.4612499475479126,1.443750023841858,9.9404935836792,10.020730972290039,163840,753.408756
1.2374999523162842,1.5087499618530273,8.402189254760742,10.424881935119629,172032,786.920949
1.4799998998641968,1.4449999332427979,10.053120613098145,9.96580696105957,180224,820.753674
1.5337498188018799,1.4374998807907104,10.392406463623047,9.912446975708008,188416,854.548551
1.4549998044967651,1.3762497901916504,9.824548721313477,9.482589721679688,196608,888.238199
1.5562500953674316,1.5049999952316284,10.44015884399414,10.360647201538086,204800,921.969133
1.3512498140335083,1.459999918937683,9.052506446838379,10.03256893157959,212992,955.555837
1.6200000047683716,1.5749998092651367,10.83349895477295,10.785904884338379,221184,989.472542
1.4587498903274536,1.5124999284744263,9.703886985778809,10.320777893066406,229376,1022.874096
1.4799998998641968,1.537500023841858,9.772659301757812,10.424372673034668,237568,1056.942773
1.5424998998641968,1.6712501049041748,10.137269973754883,11.214592933654785,245760,1090.595723
1.5700000524520874,1.4975000619888306,10.289238929748535,9.978546142578125,253952,1124.140075
1.6237499713897705,1.5699999332427979,10.619339942932129,10.449859619140625,262144,1157.883264
1.5224997997283936,1.623749852180481,9.942681312561035,10.73828125,270336,1191.359161
1.625,1.5874998569488525,10.544694900512695,10.404226303100586,278528,1225.120514
1.5637497901916504,1.6349999904632568,10.127788543701172,10.664759635925293,286720,1258.631124
1.5399999618530273,1.5625,9.939170837402344,10.110257148742676,294912,1292.366303
1.6037499904632568,1.4199998378753662,10.34414291381836,9.142410278320312,303104,1326.130104
1.6274998188018799,1.5924999713897705,10.467485427856445,10.223760604858398,311296,1359.543794
