loss,mean_reward,reward,step,time
0.01640726812183857,17.5,20.708904266357422,16384,52.883934
-0.0506768524646759,20.3125,19.89985466003418,32768,72.053146
-0.04865656793117523,19.5,18.376705169677734,49152,91.336617
-0.020574770867824554,23.0,21.66680908203125,65536,110.650152
-0.025157004594802856,24.9375,22.200462341308594,81920,130.046067
-0.10223812609910965,23.0,19.62043571472168,98304,149.559625
0.016611197963356972,24.8125,20.85266876220703,114688,169.102346
-0.06593528389930725,23.5625,19.614330291748047,131072,188.683285
-0.028955167159438133,29.5625,24.093032836914062,147456,208.333418
-0.0919436439871788,27.9375,22.131488800048828,163840,227.937051
-0.024204980581998825,25.25,19.957965850830078,180224,247.587113
-0.05917246639728546,28.5,22.488380432128906,196608,267.15962
-0.06864379346370697,28.3125,22.004793167114258,212992,287.131211
-0.1289229542016983,29.5625,22.66195297241211,229376,306.984316
-0.12027443200349808,28.3125,21.588138580322266,245760,326.748607
-0.10121569037437439,33.0625,24.924612045288086,262144,346.8487
-0.03775900602340698,29.75,22.129436492919922,278528,366.772151
-0.09563073515892029,31.25,22.98839569091797,294912,386.678921
-0.06743216514587402,30.9375,22.557130813598633,311296,406.823146
-0.0321386381983757,33.0625,23.797483444213867,327680,426.95195
-0.10312457382678986,33.9375,24.13968849182129,344064,447.013743
-0.033963918685913086,32.125,22.699140548706055,360448,467.256989
-0.14103272557258606,30.8125,21.751190185546875,376832,487.251962
-0.06780144572257996,32.0,22.491727828979492,393216,507.31696
-0.0852356106042862,34.1875,23.974103927612305,409600,527.571143
-0.068196602165699,33.9375,23.64055633544922,425984,547.619308
-0.05309729278087616,31.4375,21.830833435058594,442368,567.84365
-0.055124588310718536,30.1875,20.896591186523438,458752,588.230156
-0.15039734542369843,35.4375,24.43297004699707,475136,608.422267
-0.008470584638416767,34.75,23.88711166381836,491520,628.636415
-0.1458679437637329,33.9375,23.23672866821289,507904,648.944109
-0.12180072069168091,33.9375,23.209251403808594,524288,669.047702
-0.10697256773710251,34.75,23.749605178833008,540672,689.189584
-0.07714217901229858,34.4375,23.430124282836914,557056,709.503449
-0.1885455995798111,35.125,23.821014404296875,573440,729.674191
-0.08710338175296783,30.875,20.88915252685547,589824,749.783882
-0.11543648689985275,35.625,24.074281692504883,606208,770.020815
-0.06779484450817108,33.875,22.87395668029785,622592,790.076923
-0.0643506795167923,35.875,24.07258415222168,638976,810.270957
-0.06928269565105438,36.375,24.294588088989258,655360,830.547758
-0.12300971150398254,34.375,22.85279655456543,671744,850.702215
-0.07379915565252304,37.3125,24.695127487182617,688128,871.024224
-0.17680957913398743,37.0625,24.47248077392578,704512,891.251156
-0.08861272037029266,36.5,24.026323318481445,720896,911.456147
-0.08827698230743408,38.375,25.12598991394043,737280,931.808718
-0.015570287592709064,35.1875,22.925573348999023,753664,952.207162
-0.06576544046401978,32.9375,21.420162200927734,770048,972.486198
-0.025432471185922623,38.0,24.672016143798828,786432,992.89909
-0.09868896007537842,37.875,24.526912689208984,802816,1013.123891
-0.020608972758054733,38.5,24.807626724243164,819200,1033.375981
-0.12406706809997559,37.0625,23.76865005493164,835584,1053.850227
-0.06426090002059937,36.8125,23.501567840576172,851968,1074.261168
-0.10837966203689575,36.0625,23.01373291015625,868352,1094.530145
-0.12675555050373077,37.0,23.558155059814453,884736,1114.981079
0.013104582205414772,37.3125,23.717531204223633,901120,1135.229175
-0.07947401702404022,36.375,23.070039749145508,917504,1155.455521
-0.10166793316602707,37.9375,23.999473571777344,933888,1175.759245
-0.10069072991609573,35.5,22.387447357177734,950272,1196.084521
-0.05639108270406723,40.875,25.729652404785156,966656,1216.47096
-0.02674081362783909,43.6875,27.373077392578125,983040,1236.972903
-0.15701045095920563,41.25,25.742830276489258,999424,1257.38504
-0.11848469823598862,38.625,24.033737182617188,1015808,1277.641747
-0.14119987189769745,40.4375,25.102407455444336,1032192,1298.05863
-0.12312869727611542,41.125,25.441787719726562,1048576,1318.411131
-0.15061143040657043,38.5,23.731687545776367,1064960,1338.720013
-0.0737057477235794,37.25,22.952722549438477,1081344,1359.137654
-0.03153962641954422,38.3125,23.57143783569336,1097728,1379.449535
-0.09683209657669067,42.625,26.104997634887695,1114112,1399.692955
-0.0925290659070015,43.25,26.409067153930664,1130496,1420.158975
-0.09505969285964966,41.0,24.930421829223633,1146880,1440.327185
-0.10832297056913376,43.25,26.168895721435547,1163264,1460.746364
-0.09468282014131546,43.25,26.113433837890625,1179648,1481.253602
-0.11385270953178406,42.75,25.74326515197754,1196032,1501.434243
-0.086529441177845,42.875,25.78112030029297,1212416,1521.896547
-0.08121562749147415,41.4375,24.835790634155273,1228800,1542.18261
-0.04369141906499863,41.75,24.980876922607422,1245184,1562.379511
-0.07504168897867203,38.875,23.253183364868164,1261568,1582.606772
-0.13760307431221008,44.9375,26.845569610595703,1277952,1602.834826
-0.05267288163304329,43.0,25.63473892211914,1294336,1623.054113
-0.08632154017686844,38.5625,22.9250545501709,1310720,1643.311034
-0.13347457349300385,44.5,26.39006996154785,1327104,1663.529491
-0.074174664914608,43.25,25.574548721313477,1343488,1683.676032
-0.09978095442056656,42.125,24.860889434814453,1359872,1703.991927
-0.08729077875614166,42.8125,25.236026763916016,1376256,1724.22619
-0.17922081053256989,39.5,23.22910499572754,1392640,1744.381238
-0.04317322000861168,40.25,23.6407470703125,1409024,1764.747299
-0.1303941011428833,42.6875,25.045169830322266,1425408,1785.088858
-0.09115038812160492,42.875,25.090089797973633,1441792,1805.181579
-0.07038481533527374,44.4375,25.951318740844727,1458176,1825.593903
