mean_reward,reward,step,time
4.75,8.235432624816895,8192,19.224378
4.1875,4.290807723999023,16384,30.121983
4.6875,5.030942916870117,24576,41.631941
5.8125,5.709881782531738,32768,52.79367
6.21875,5.833086967468262,40960,63.159738
7.0,6.232475280761719,49152,74.922701
5.875,4.880944728851318,57344,85.245003
6.78125,5.491019248962402,65536,96.952079
6.4375,5.090644836425781,73728,108.063123
5.5625,4.405789375305176,81920,120.851617
6.21875,4.88494873046875,90112,132.721695
6.3125,4.926689147949219,98304,143.209758
6.53125,5.076488971710205,106496,154.418723
6.65625,5.130916118621826,114688,165.695839
7.03125,5.397871971130371,122880,177.007492
7.8125,5.944486141204834,131072,187.589523
6.5,4.9167561531066895,139264,199.646745
7.3125,5.514920234680176,147456,212.7532
8.25,6.141430854797363,155648,224.647155
9.9375,7.269003868103027,163840,235.934632
8.53125,6.140589714050293,172032,246.551724
9.0625,6.418618202209473,180224,258.468179
8.5,5.957601070404053,188416,269.744743
6.53125,4.545779228210449,196608,280.645217
7.53125,5.250164985656738,204800,292.60635
7.0625,4.928004264831543,212992,304.599112
7.75,5.380747318267822,221184,317.331746
7.5625,5.228654384613037,229376,328.560319
7.875,5.417756080627441,237568,339.414447
6.65625,4.57585334777832,245760,351.529174
7.71875,5.32228946685791,253952,362.055118
8.46875,5.817111968994141,262144,373.240095
7.09375,4.879983425140381,270336,384.405841
8.96875,6.149284839630127,278528,396.895287
8.6875,5.941532611846924,286720,409.0517
7.84375,5.362106800079346,294912,420.266912
7.53125,5.158997058868408,303104,431.594608
7.8125,5.3336286544799805,311296,443.451172
9.21875,6.260234832763672,319488,454.799892
8.96875,6.065863609313965,327680,466.130733
9.875,6.6446309089660645,335872,477.549563
11.21875,7.439223289489746,344064,490.222457
8.625,5.658025741577148,352256,502.348037
9.75,6.3753275871276855,360448,514.109711
8.4375,5.500908851623535,368640,525.480701
9.375,6.0975470542907715,376832,536.750591
8.28125,5.363062858581543,385024,548.447025
9.25,5.985342502593994,393216,559.548131
9.8125,6.319248676300049,401408,571.318511
8.25,5.304441928863525,409600,583.519062
7.96875,5.12273645401001,417792,595.516428
8.84375,5.690291404724121,425984,607.692804
10.1875,6.532703876495361,434176,618.410445
9.125,5.815426349639893,442368,629.809158
9.09375,5.785566329956055,450560,642.012385
9.71875,6.169250965118408,458752,652.683638
10.65625,6.725501537322998,466944,664.755044
11.3125,7.10734224319458,475136,675.498931
9.8125,6.116156101226807,483328,688.94885
10.84375,6.74409294128418,491520,701.008999
9.78125,6.07021427154541,499712,711.924934
9.21875,5.699431419372559,507904,723.321511
10.0625,6.204756259918213,516096,734.71942
9.0625,5.579095840454102,524288,746.122369
9.34375,5.747250556945801,532480,757.44943
10.875,6.676674842834473,540672,768.871303
10.6875,6.534000396728516,548864,781.936256
9.96875,6.065976142883301,557056,793.820041
11.34375,6.882149696350098,565248,805.202081
10.40625,6.283053398132324,573440,816.212609
9.875,5.954646110534668,581632,828.066154
9.3125,5.6071553230285645,589824,839.535763
10.875,6.5395708084106445,598016,851.089747
11.875,7.117847442626953,606208,862.499503
11.125,6.635339260101318,614400,874.74455
9.75,5.801674842834473,622592,887.744094
8.78125,5.225412845611572,630784,899.115405
10.1875,6.052230358123779,638976,910.05894
9.65625,5.734219551086426,647168,922.033944
9.5,5.629936218261719,655360,932.795541
9.9375,5.890133857727051,663552,944.844383
9.375,5.557601451873779,671744,955.785141
10.25,6.071738243103027,679936,967.86227
10.8125,6.396103382110596,688128,981.599538
9.65625,5.69788932800293,696320,992.379767
11.21875,6.60488224029541,704512,1003.851423
10.9375,6.413293361663818,712704,1015.234867
10.78125,6.313469409942627,720896,1026.659807
10.4375,6.098171234130859,729088,1039.165498
9.28125,5.421934127807617,737280,1050.006739
12.3125,7.178180694580078,745472,1061.641915
10.78125,6.261780738830566,753664,1074.932956
11.40625,6.6160383224487305,761856,1086.42048
10.75,6.21897029876709,770048,1097.815873
11.0625,6.387362480163574,778240,1109.273231
12.59375,7.255025863647461,786432,1120.756539
11.21875,6.443892955780029,794624,1132.123955
10.8125,6.201466083526611,802816,1144.874904
11.28125,6.4615864753723145,811008,1156.391647
11.125,6.353643417358398,819200,1169.936646
10.8125,6.162350654602051,827392,1181.466246
10.6875,6.080724716186523,835584,1193.690894
11.375,6.454341411590576,843776,1206.342226
11.21875,6.3511738777160645,851968,1217.787839
12.46875,7.037309646606445,860160,1229.368811
10.46875,5.88286018371582,868352,1240.720943
10.96875,6.156652927398682,876544,1253.839386
11.3125,6.339268684387207,884736,1268.895582
9.875,5.520100116729736,892928,1280.516876
10.8125,6.03959321975708,901120,1292.806246
10.625,5.9297871589660645,909312,1304.038106
10.59375,5.906595706939697,917504,1317.337837
12.09375,6.726505756378174,925696,1328.762359
12.4375,6.890091419219971,933888,1340.261873
11.6875,6.454476356506348,942080,1351.696973
11.9375,6.574454307556152,950272,1366.20165
10.0625,5.537149429321289,958464,1379.329415
9.875,5.435359477996826,966656,1390.83515
11.28125,6.205357551574707,974848,1402.321154
11.5625,6.34388542175293,983040,1413.812512
12.6875,6.93751859664917,991232,1426.836625
10.6875,5.830747604370117,999424,1438.333679
12.59375,6.859094142913818,1007616,1449.735921
13.4375,7.29007625579834,1015808,1464.043251
11.4375,6.183757781982422,1024000,1476.357279
12.34375,6.66503381729126,1032192,1488.764111
11.03125,5.948896884918213,1040384,1500.270032
11.625,6.264342784881592,1048576,1511.807918
11.5,6.193873405456543,1056768,1523.417109
11.03125,5.935282230377197,1064960,1536.944468
11.5625,6.210615158081055,1073152,1549.077188
