mean_reward,reward,step,time
4.90625,7.8331804275512695,8192,20.99098
3.34375,3.463021993637085,16384,32.989408
4.84375,5.011120319366455,24576,44.853882
4.21875,4.18089485168457,32768,56.840814
5.25,5.259441375732422,40960,69.499153
6.21875,5.986985683441162,49152,82.326838
5.34375,4.865733623504639,57344,94.736594
6.71875,5.934914588928223,65536,106.899701
7.1875,6.1580424308776855,73728,119.042829
6.75,5.634483337402344,81920,131.680316
6.625,5.3581929206848145,90112,144.620847
7.15625,5.751386642456055,98304,157.559492
6.03125,4.809798717498779,106496,169.844295
6.75,5.396396636962891,114688,182.051576
7.75,6.1783623695373535,122880,194.433306
6.65625,5.2261152267456055,131072,207.356261
8.71875,6.74238395690918,139264,220.225445
8.03125,6.024774551391602,147456,232.684906
8.21875,6.092750072479248,155648,244.991234
7.65625,5.586738109588623,163840,257.248298
7.8125,5.6715474128723145,172032,270.173803
7.09375,5.146750450134277,180224,283.204528
8.46875,6.137521266937256,188416,295.793467
9.0,6.474824905395508,196608,308.131445
9.09375,6.431550025939941,204800,320.425082
9.34375,6.5274858474731445,212992,333.352465
8.875,6.151897430419922,221184,346.586011
8.96875,6.149895668029785,229376,359.633048
10.0,6.794757843017578,237568,372.065827
8.5,5.736457824707031,245760,384.3962
8.46875,5.705807685852051,253952,397.207309
10.4375,7.003922939300537,262144,410.374337
9.375,6.227546215057373,270336,423.510832
9.21875,6.051191329956055,278528,435.918904
8.96875,5.872897624969482,286720,448.282257
9.0,5.890218734741211,294912,460.615722
9.15625,5.9827680587768555,303104,473.755819
8.90625,5.813499450683594,311296,488.521377
8.34375,5.435179233551025,319488,502.072252
8.53125,5.5371785163879395,327680,514.42242
8.21875,5.324328899383545,335872,526.75791
8.3125,5.379566192626953,344064,539.581063
8.34375,5.400566577911377,352256,554.144503
10.375,6.693254470825195,360448,567.871077
9.40625,6.051243305206299,368640,580.354327
9.25,5.93001651763916,376832,592.620355
9.09375,5.817462921142578,385024,604.911211
8.96875,5.7183685302734375,393216,619.351018
9.75,6.2067790031433105,401408,633.08187
8.71875,5.526736736297607,409600,646.11314
8.3125,5.2737507820129395,417792,658.475428
9.21875,5.84919548034668,425984,670.717569
8.96875,5.674708366394043,434176,685.031038
9.25,5.847590923309326,442368,698.271959
9.6875,6.095008373260498,450560,711.429088
10.8125,6.772933006286621,458752,723.881715
9.65625,6.0309834480285645,466944,737.927122
10.4375,6.485606670379639,475136,751.261195
9.9375,6.14785099029541,483328,764.478109
9.53125,5.880965709686279,491520,777.605706
11.125,6.832112789154053,499712,790.36734
10.0,6.119576930999756,507904,804.033973
10.40625,6.339043617248535,516096,816.966136
10.09375,6.137350559234619,524288,830.133586
9.3125,5.657046794891357,532480,843.200073
10.0,6.061707496643066,540672,857.826492
9.8125,5.935983657836914,548864,870.592519
10.25,6.168328762054443,557056,883.066857
8.96875,5.38865327835083,565248,896.131238
10.46875,6.286438465118408,573440,909.522485
9.0,5.398890972137451,581632,924.267651
10.8125,6.473058700561523,589824,936.904447
9.96875,5.95860481262207,598016,949.275675
9.59375,5.723659515380859,606208,962.310764
11.28125,6.71440315246582,614400,975.755931
8.875,5.26475715637207,622592,990.669242
10.4375,6.187645435333252,630784,1003.499234
9.5625,5.662858009338379,638976,1015.865683
11.3125,6.68350076675415,647168,1028.313774
10.59375,6.242366790771484,655360,1041.296574
10.9375,6.427084445953369,663552,1056.27159
11.34375,6.6611199378967285,671744,1069.677433
12.15625,7.112366199493408,679936,1082.448999
10.375,6.05079460144043,688128,1094.841974
11.0625,6.432446479797363,696320,1107.477144
11.28125,6.535144805908203,704512,1122.352186
11.15625,6.450887680053711,712704,1135.680336
10.3125,5.939040660858154,720896,1148.330607
10.0625,5.781285285949707,729088,1160.682175
10.875,6.234941482543945,737280,1173.410998
9.90625,5.678990364074707,745472,1187.680197
10.125,5.806021213531494,753664,1200.905994
11.125,6.365499973297119,761856,1213.674148
11.75,6.7091803550720215,770048,1226.189587
11.4375,6.5093889236450195,778240,1240.370753
10.25,5.8232526779174805,786432,1253.655621
10.59375,6.01362943649292,794624,1266.838316
10.375,5.88992166519165,802816,1279.961081
10.5625,5.992072105407715,811008,1293.337218
10.28125,5.821557521820068,819200,1306.957292
11.71875,6.623746395111084,827392,1319.97118
10.5,5.924705982208252,835584,1333.160382
11.21875,6.31279182434082,843776,1346.39728
11.4375,6.424065113067627,851968,1360.274137
10.71875,6.000434398651123,860160,1372.808926
11.3125,6.327040195465088,868352,1385.687233
11.40625,6.369760036468506,876544,1398.978342
11.65625,6.49464225769043,884736,1412.935436
11.625,6.467935562133789,892928,1427.006629
10.0625,5.593060493469238,901120,1439.514212
12.0,6.664315700531006,909312,1452.124561
11.03125,6.106990814208984,917504,1465.287151
9.90625,5.476231575012207,925696,1479.447598
11.96875,6.611759185791016,933888,1493.98997
11.59375,6.390228271484375,942080,1506.567599
11.78125,6.481901168823242,950272,1519.084572
12.40625,6.807229042053223,958464,1532.107277
12.3125,6.73049259185791,966656,1546.786155
11.84375,6.448981285095215,974848,1560.901156
10.84375,5.886544227600098,983040,1573.475182
10.78125,5.846652507781982,991232,1585.806109
11.375,6.167038440704346,999424,1598.277189
11.09375,6.013819217681885,1007616,1612.755214
12.40625,6.715290069580078,1015808,1626.977846
10.28125,5.559079170227051,1024000,1640.097384
11.84375,6.402378559112549,1032192,1652.561888
12.25,6.613358020782471,1040384,1664.978826
10.9375,5.900662422180176,1048576,1679.497159
11.3125,6.099762916564941,1056768,1692.734295
11.6875,6.296148777008057,1064960,1705.967669
